Date,Open,High,Low,Close,Adj Close,Volume,Predicted with avg 68 per loss,predicted close
09/05/22,17546.44922,17683.15039,17540.34961,17665.80078,17665.80078,230300,17665.754,0.04678
09/06/22,17695.69922,17764.65039,17587.65039,17655.59961,17655.59961,251200,17660.61,-5.01039
09/07/22,17519.40039,17650.75,17484.30078,17624.40039,17624.40039,354100,17621.352,3.04839
09/08/22,17748.15039,17807.65039,17691.94922,17798.75,17798.75,279800,17790.07,8.68
09/09/22,17923.34961,17925.94922,17786,17833.34961,17833.34961,270300,17831.3,2.04961
09/12/22,17890.84961,17980.55078,17889.15039,17936.34961,17936.34961,228200,17944.926,-8.57639
9/13/22,18044.44922,18088.30078,18015.44922,18070.05078,18070.05078,259900,18069.053,0.99778
9/14/22,17771.15039,18091.55078,17771.15039,18003.75,18003.75,365900,18015.523,-11.773
9/15/22,18046.34961,18096.15039,17861.5,17877.40039,17877.40039,289600,17894.754,-17.35361
9/16/22,17796.80078,17820.05078,17497.25,17530.84961,17530.84961,468500,17544.617,-13.76739
9/19/22,17540.65039,17667.19922,17429.69922,17622.25,17622.25,258300,17609.875,12.375
9/20/22,17770.40039,17919.30078,17744.40039,17816.25,17816.25,263100,17832.287,-16.037
9/21/22,17766.34961,17838.69922,17663.59961,17718.34961,17718.34961,245500,17726.871,-8.52139
9/22/22,17609.65039,17722.75,17532.44922,17629.80078,17629.80078,284100,17635.254,-5.45322
9/23/22,17593.84961,17642.15039,17291.65039,17327.34961,17327.34961,390800,17345.797,-18.44739
9/26/22,17156.30078,17196.40039,16978.30078,17016.30078,17016.30078,492000,17026.062,-9.76122
9/27/22,17110.90039,17176.44922,16942.34961,17007.40039,17007.40039,359900,17015.47,-8.06961
9/28/22,16870.55078,17037.59961,16820.40039,16858.59961,16858.59961,323900,16887.328,-28.72839
9/29/22,16993.59961,17026.05078,16788.59961,16818.09961,16818.09961,340000,16829.668,-11.56839
9/30/22,16798.05078,17187.09961,16747.69922,17094.34961,17094.34961,376100,17095.8,-1.45039
10/03/22,17102.09961,17114.65039,16855.55078,16887.34961,16887.34961,278400,16896.512,-9.16239
10/04/22,17147.44922,17287.30078,17117.30078,17274.30078,17274.30078,226000,17268.697,5.60378
10/06/22,17379.25,17428.80078,17315.65039,17331.80078,17331.80078,265500,17342.668,-10.86722
10/07/22,17287.19922,17337.34961,17216.94922,17314.65039,17314.65039,216300,17306.871,7.77939
10/10/22,17094.34961,17280.15039,17064.69922,17241,17241,234000,17240.148,0.852
10/11/22,17256.05078,17261.80078,16950.30078,16983.55078,16983.55078,282600,16994.088,-10.53722
10/12/22,17025.55078,17142.34961,16960.05078,17123.59961,17123.59961,256000,17113.617,9.98261
10/13/22,17087.34961,17112.34961,16956.94922,17014.34961,17014.34961,266400,17014.014,0.33561
10/14/22,17322.30078,17348.55078,17169.75,17185.69922,17185.69922,227000,17196.496,-10.79678
10/17/22,17144.80078,17328.55078,17098.55078,17311.80078,17311.80078,212200,17302.746,9.05478
10/18/22,17438.75,17527.80078,17434.05078,17486.94922,17486.94922,239500,17494.156,-7.20678
10/19/22,17568.15039,17607.59961,17472.84961,17512.25,17512.25,210500,17517.29,-5.04
10/20/22,17423.09961,17584.15039,17421,17563.94922,17563.94922,249600,17564.512,-0.56278
10/21/22,17622.84961,17670.15039,17520.75,17576.30078,17576.30078,277700,17579.516,-3.21522
10/24/22,17736.34961,17777.55078,17707.40039,17730.75,17730.75,45000,17736.469,-5.719
10/25/22,17808.30078,17811.5,17637,17656.34961,17656.34961,251400,17662.723,-6.37339
10/27/22,17771.40039,17783.90039,17654.5,17736.94922,17736.94922,324600,17727.613,9.33622
10/28/22,17756.40039,17838.90039,17723.69922,17786.80078,17786.80078,250000,17791.79,-4.98922
10/31/22,17910.19922,18022.80078,17899.90039,18012.19922,18012.19922,227200,18010.617,1.58222
11/01/22,18130.69922,18175.80078,18060.15039,18145.40039,18145.40039,349900,18139.654,5.74639
11/02/22,18177.90039,18178.75,18048.65039,18082.84961,18082.84961,270900,18083.14,-0.29039
11/03/22,17968.34961,18106.30078,17959.19922,18052.69922,18052.69922,213000,18060.598,-7.89878
11/04/22,18053.40039,18135.09961,18017.15039,18117.15039,18117.15039,267900,18113.562,3.58839
11/07/22,18211.75,18255.5,18064.75,18202.80078,18202.80078,314800,18188.39,14.41078
11/09/22,18288.25,18296.40039,18117.5,18157,18157,307200,18159.7,-2.7
11/10/22,18044.34961,18103.09961,17969.40039,18028.19922,18028.19922,256500,18031.617,-3.41778
11/11/22,18272.34961,18362.30078,18259.34961,18349.69922,18349.69922,378500,18348.875,0.82422
11/14/22,18376.40039,18399.44922,18311.40039,18329.15039,18329.15039,301400,18334.484,-5.33361
11/15/22,18362.75,18427.94922,18282,18403.40039,18403.40039,250900,18393.809,9.59139
11/16/22,18398.25,18442.15039,18344.15039,18409.65039,18409.65039,219300,18407.455,2.19539
11/17/22,18358.69922,18417.59961,18312.94922,18343.90039,18343.90039,200500,18352.39,-8.48961
11/18/22,18382.94922,18394.59961,18209.80078,18307.65039,18307.65039,198800,18297.52,10.13039
11/21/22,18246.40039,18262.30078,18133.34961,18159.94922,18159.94922,213800,18164.23,-4.28078
11/22/22,18179.15039,18261.84961,18137.69922,18244.19922,18244.19922,177700,18239.568,4.63122
11/23/22,18325.19922,18325.40039,18246,18267.25,18267.25,178800,18267.857,-0.607
11/24/22,18326.09961,18529.69922,18294.25,18484.09961,18484.09961,204000,18483.95,0.14961
11/25/22,18528.44922,18534.90039,18445.09961,18512.75,18512.75,205900,18504.004,8.746
11/28/22,18430.55078,18614.25,18365.59961,18562.75,18562.75,206500,18558.594,4.156
11/29/22,18552.44922,18678.09961,18552.15039,18618.05078,18618.05078,195300,18629.54,-11.48922
11/30/22,18625.69922,18816.05078,18616.55078,18758.34961,18758.34961,345600,18765.645,-7.29539
12/01/22,18871.94922,18887.59961,18778.19922,18812.5,18812.5,325000,18814.02,-1.52
12/02/22,18752.40039,18781.94922,18639.19922,18696.09961,18696.09961,254400,18696.127,-0.02739
12/05/22,18719.55078,18728.59961,18591.34961,18701.05078,18701.05078,288400,18685.342,15.70878
12/06/22,18600.65039,18654.90039,18577.90039,18642.75,18642.75,217800,18641.203,1.547
12/07/22,18638.84961,18668.30078,18528.40039,18560.5,18560.5,200500,18566.15,-5.65
12/08/22,18570.84961,18625,18536.94922,18609.34961,18609.34961,202800,18606.586,2.76361
12/09/22,18662.40039,18664.69922,18410.09961,18496.59961,18496.59961,215800,18491.377,5.22261
12/12/22,18402.15039,18521.55078,18345.69922,18497.15039,18497.15039,193900,18490.232,6.91839
12/13/22,18524.40039,18617.25,18490.19922,18608,18608,187600,18602.45,5.55
12/14/22,18671.25,18696.09961,18632.90039,18660.30078,18660.30078,208000,18662.387,-2.08622
12/15/22,18614.40039,18652.90039,18387.69922,18414.90039,18414.90039,183100,18429.553,-14.65261
12/16/22,18319.09961,18440.94922,18255.15039,18269,18269,277700,18295.184,-26.184
12/19/22,18288.09961,18431.65039,18244.55078,18420.44922,18420.44922,154800,18412.008,8.44122
12/20/22,18340.30078,18404.90039,18202.65039,18385.30078,18385.30078,169000,18364.184,21.11678
12/21/22,18435.15039,18473.34961,18162.75,18199.09961,18199.09961,187600,18213.895,-14.79539
12/22/22,18288.80078,18318.75,18068.59961,18127.34961,18127.34961,195700,18132.506,-5.15639
12/23/22,17977.65039,18050.44922,17779.5,17806.80078,17806.80078,221500,17826.812,-20.01122
12/26/22,17830.40039,18084.09961,17774.25,18014.59961,18014.59961,176700,18013.959,0.64061
12/27/22,18089.80078,18149.25,17967.44922,18132.30078,18132.30078,214300,18113.488,18.81278
12/28/22,18084.75,18173.09961,18068.34961,18122.5,18122.5,193900,18129.96,-7.46
12/29/22,18045.69922,18229.69922,17992.80078,18191,18191,281100,18185.99,5.01
12/30/22,18259.09961,18265.25,18080.30078,18105.30078,18105.30078,192000,18111.39,-6.08922
01/02/23,18131.69922,18215.15039,18086.5,18197.44922,18197.44922,256100,18192.125,5.32422
01/03/23,18163.19922,18251.94922,18149.80078,18232.55078,18232.55078,208700,18233.252,-0.70122
01/04/23,18230.65039,18243,18020.59961,18042.94922,18042.94922,235200,18052.535,-9.58578
01/05/23,18101.94922,18120.30078,17892.59961,17992.15039,17992.15039,269900,17984.826,7.32439
01/06/23,18008.05078,18047.40039,17795.55078,17859.44922,17859.44922,238200,17864.871,-5.42178
01/09/23,17952.55078,18141.40039,17936.15039,18101.19922,18101.19922,257200,18103.025,-1.82578
01/10/23,18121.30078,18127.59961,17856,17914.15039,17914.15039,283300,17916.984,-2.83361
01/11/23,17924.25,17976.34961,17824.34961,17895.69922,17895.69922,259900,17896.11,-0.41078
01/12/23,17920.84961,17945.80078,17761.65039,17858.19922,17858.19922,227800,17850.285,7.91422
1/13/23,17867.5,17999.34961,17774.25,17956.59961,17956.59961,256700,17946.81,9.78961
1/16/23,18033.15039,18049.65039,17853.65039,17894.84961,17894.84961,206200,17899.25,-4.40039
1/17/23,17922.80078,18072.05078,17886.94922,18053.30078,18053.30078,219100,18047.809,5.49178
1/18/23,18074.30078,18183.75,18032.44922,18165.34961,18165.34961,255800,18159.967,5.38261
1/19/23,18119.80078,18155.19922,18063.75,18107.84961,18107.84961,237800,18109.01,-1.16039
1/20/23,18115.59961,18145.44922,18016.19922,18027.65039,18027.65039,237200,18037.578,-9.92761
1/23/23,18118.44922,18162.59961,18063.44922,18118.55078,18118.55078,202500,18118.85,-0.29922
1/24/23,18183.94922,18201.25,18078.65039,18118.30078,18118.30078,216900,18119.398,-1.09722
1/25/23,18093.34961,18100.59961,17846.15039,17891.94922,17891.94922,257200,17896.924,-4.97478
1/27/23,17877.19922,17884.75,17493.55078,17604.34961,17604.34961,476300,17601.234,3.11561
1/30/23,17541.94922,17709.15039,17405.55078,17648.94922,17648.94922,432400,17634.234,14.71522
1/31/23,17731.44922,17735.69922,17537.55078,17662.15039,17662.15039,398300,17645.27,16.88039
02/01/23,17811.59961,17972.19922,17353.40039,17616.30078,17616.30078,512900,17612.41,3.89078
02/02/23,17517.09961,17653.90039,17445.94922,17610.40039,17610.40039,490100,17604.637,5.76339
02/03/23,17721.75,17870.30078,17584.19922,17854.05078,17854.05078,424100,17829.45,24.60078
02/06/23,17818.55078,17823.69922,17698.34961,17764.59961,17764.59961,282500,17757.742,6.85761
02/07/23,17790.09961,17811.15039,17652.55078,17721.5,17721.5,354400,17718.13,3.37
02/08/23,17750.30078,17898.69922,17744.15039,17871.69922,17871.69922,291000,17873.562,-1.86278
02/09/23,17885.5,17916.90039,17779.80078,17893.44922,17893.44922,260900,17880.062,13.38722
02/10/23,17847.55078,17876.94922,17801,17856.5,17856.5,232000,17853.246,3.254
2/13/23,17859.09961,17880.69922,17719.75,17770.90039,17770.90039,231300,17771.9,-0.99961
2/14/23,17840.34961,17954.55078,17800.05078,17929.84961,17929.84961,244500,17926.043,3.80661
2/15/23,17896.59961,18034.09961,17853.80078,18015.84961,18015.84961,229300,18009.344,6.50561
2/16/23,18094.75,18134.75,18000.65039,18035.84961,18035.84961,230200,18041.994,-6.14439
2/17/23,17974.84961,18034.25,17884.59961,17944.19922,17944.19922,208100,17948.34,-4.14078
2/20/23,17965.55078,18004.34961,17818.40039,17844.59961,17844.59961,174600,17855.336,-10.73639
2/21/23,17905.80078,17924.90039,17800.30078,17826.69922,17826.69922,198200,17831.238,-4.53878
2/22/23,17755.34961,17772.5,17529.44922,17554.30078,17554.30078,204000,17565.03,-10.72922
2/23/23,17574.65039,17620.05078,17455.40039,17511.25,17511.25,240800,17514.89,-3.64
2/24/23,17591.34961,17599.75,17421.80078,17465.80078,17465.80078,209400,17467.332,-1.53122
2/27/23,17428.59961,17451.59961,17299,17392.69922,17392.69922,246400,17383.46,9.23922
2/28/23,17383.25,17440.44922,17255.19922,17303.94922,17303.94922,420900,17312.09,-8.14078
03/01/23,17360.09961,17467.75,17345.25,17450.90039,17450.90039,272900,17450.043,0.85739
03/02/23,17421.5,17445.80078,17306,17321.90039,17321.90039,310700,17330.414,-8.51361
03/03/23,17451.25,17644.75,17427.69922,17594.34961,17594.34961,356200,17597.059,-2.70939
03/06/23,17680.34961,17799.94922,17671.94922,17711.44922,17711.44922,362800,17728.215,-16.76578
03/08/23,17665.75,17766.5,17602.25,17754.40039,17754.40039,267000,17743.818,10.58239
03/09/23,17772.05078,17772.34961,17573.59961,17589.59961,17589.59961,262400,17597.574,-7.97439
03/10/23,17443.80078,17451.5,17324.34961,17412.90039,17412.90039,235900,17401.244,11.65639
3/13/23,17421.90039,17529.90039,17113.44922,17154.30078,17154.30078,254900,17183.914,-29.61322
3/14/23,17160.55078,17224.65039,16987.09961,17043.30078,17043.30078,290600,17053.402,-10.10122
3/15/23,17166.44922,17211.34961,16938.90039,16972.15039,16972.15039,248200,16986.543,-14.39261
3/16/23,16994.65039,17062.44922,16850.15039,16985.59961,16985.59961,349800,16976.379,9.22061
3/17/23,17111.80078,17145.80078,16958.15039,17100.05078,17100.05078,408100,17082.973,17.07778
3/20/23,17066.59961,17066.59961,16828.34961,16988.40039,16988.40039,241800,16964.555,23.84539
3/21/23,17060.40039,17127.69922,17016,17107.5,17107.5,246700,17103.277,4.223
3/22/23,17177.44922,17207.25,17107.84961,17151.90039,17151.90039,0,17152.494,-0.59361
3/23/23,17097.40039,17205.40039,17045.30078,17076.90039,17076.90039,219200,17095.342,-18.44161
3/24/23,17076.19922,17109.44922,16917.34961,16945.05078,16945.05078,228000,16954.809,-9.75822
3/27/23,16984.30078,17091,16918.55078,16985.69922,16985.69922,218400,16996.246,-10.54678
3/28/23,17031.75,17061.75,16913.75,16951.69922,16951.69922,238800,16956.275,-4.57578
3/29/23,16977.30078,17126.15039,16940.59961,17080.69922,17080.69922,345900,17081.203,-0.50378
3/31/23,17210.34961,17381.59961,17204.65039,17359.75,17359.75,263900,17359.691,0.059
04/03/23,17427.94922,17428.05078,17312.75,17398.05078,17398.05078,230200,17385.395,12.65578
