Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-September-2023,155.40,159.00,153.65,157.55,156.498425730251860654,444333,3973,69537415.00,287774,64.77,5.35,2.15
31-August-2023,155.65,158.10,153.45,154.10,155.867177139028101573,143266,1701,22330467.00,60124,41.97,4.65,-1.55
30-August-2023,158.70,159.60,155.50,155.90,157.333434712506718106,240023,2618,37763643.00,91289,38.03,4.10,-2.80
29-August-2023,158.00,159.70,154.75,156.25,156.545136553208664065,111495,1575,17454000.00,37302,33.46,4.95,-1.75
28-August-2023,159.20,162.35,156.35,157.05,159.315129659815625958,329439,3207,52484617.00,149559,45.40,6.00,-2.15
25-August-2023,161.45,161.55,154.15,158.30,157.677101076423982415,141487,1532,22309260.00,54568,38.57,7.40,-3.15
24-August-2023,165.05,166.55,160.15,161.45,162.793004772742451720,389294,4025,63374340.00,215004,55.23,6.40,-3.60
23-August-2023,160.85,165.85,160.40,164.25,163.736094079671072800,443624,4542,72637261.00,170590,38.45,5.45,3.40
22-August-2023,152.05,161.35,152.05,158.75,158.731060482688988046,614060,6168,97470395.00,178276,29.03,9.30,6.70
21-August-2023,155.60,155.60,151.20,151.65,152.632076720037329284,143587,2067,21915982.00,79847,55.61,4.40,-3.95
18-August-2023,150.25,155.80,150.25,153.00,153.150737613185471563,245725,2450,37632965.00,101605,41.35,5.55,2.75
17-August-2023,148.05,152.00,148.05,150.25,149.633023823786922261,86804,1054,12988745.00,31015,35.73,3.95,2.20
16-August-2023,149.55,152.20,147.45,148.45,149.682825610771696304,142893,2031,21388628.00,52107,36.47,4.75,-1.10
14-August-2023,148.70,151.30,145.55,149.70,148.061838420555863241,256394,2704,37962167.00,78437,30.59,5.75,1.00
11-August-2023,150.00,152.80,149.50,151.00,151.026484109534279432,220132,2329,33245762.00,112241,50.99,3.30,1.00
10-August-2023,152.95,157.00,149.15,149.85,152.782060941988192670,346395,3699,52922942.00,148015,42.73,7.85,-3.10
9-August-2023,154.80,156.25,151.85,152.75,153.578853360678661321,268175,3377,41186009.00,112265,41.86,4.40,-2.05
8-August-2023,149.70,156.25,147.70,154.65,153.461610713717773613,672857,6465,103257719.00,216165,32.13,8.55,4.95
7-August-2023,147.00,151.55,146.25,149.75,149.271860201799349646,179287,2224,26762504.00,60323,33.65,5.30,2.75
4-August-2023,147.20,151.50,146.45,147.15,148.116446780299621423,333354,3553,49375210.00,114901,34.47,5.05,-0.05
3-August-2023,149.05,151.35,144.20,147.10,147.242018204500300328,259716,2499,38241108.00,65856,25.36,7.15,-1.95
2-August-2023,155.40,155.40,143.00,148.45,148.279438859410136376,777773,9610,115327744.00,301073,38.71,12.40,-6.95
1-August-2023,159.95,160.50,152.15,155.55,156.343984368465563227,430412,3591,67292327.00,104241,24.22,8.35,-4.40
31-July-2023,155.45,160.00,152.50,158.55,156.277907204498058599,433965,3723,67819142.00,136376,31.43,7.50,3.10
28-July-2023,147.25,155.40,145.35,154.45,151.304918971457598338,1114237,8190,168589539.00,390139,35.01,10.05,7.20
27-July-2023,148.00,149.40,145.50,148.75,147.592637603888976007,229572,2260,33883137.00,99469,43.33,3.90,0.75
26-July-2023,149.00,149.45,145.00,147.65,146.678387662855623504,470125,5480,68957177.00,243039,51.70,4.45,-1.35
25-July-2023,143.65,149.80,142.10,148.45,145.650135798785144573,988595,9183,143988996.00,271968,27.51,7.70,4.80
24-July-2023,136.00,142.35,135.70,141.30,140.010587651184652568,1190349,9862,166661463.00,526031,44.19,6.65,5.30
21-July-2023,128.55,136.75,128.00,135.00,133.460802639279979933,705647,6432,94176215.00,291631,41.33,8.75,6.45
20-July-2023,131.40,131.40,129.00,129.60,130.274311771879297371,154164,1324,20083609.00,55738,36.16,2.40,-1.80
19-July-2023,132.75,132.80,129.95,130.75,131.053382646760250101,309314,3231,40536646.00,154858,50.06,2.85,-2.00
18-July-2023,129.05,132.80,127.70,131.60,130.277455996492417608,834763,5738,108750800.00,310222,37.16,5.10,2.55
17-July-2023,130.00,133.10,127.55,128.70,130.364611632764900617,1114937,8336,145348329.00,464226,41.64,5.55,-1.30
14-July-2023,124.20,127.80,122.10,126.85,125.517423076369808823,695170,5951,87255947.00,257159,36.99,5.70,2.65
13-July-2023,121.95,126.80,121.30,122.90,124.135774068233966298,671601,4956,83369710.00,141027,21.00,5.50,0.95
12-July-2023,120.50,124.55,119.55,121.40,122.389031519849451211,767326,5647,93912286.00,127053,16.56,5.00,0.90
11-July-2023,120.35,122.15,119.35,120.05,120.597366903363010489,776804,6318,93680517.00,274623,35.35,2.80,-0.30
10-July-2023,121.20,122.35,118.35,120.35,119.912237574906240573,444222,4265,53267654.00,125232,28.19,4.00,-0.85
7-July-2023,121.50,124.25,119.35,121.90,121.935943499869212660,955750,7807,116540278.00,361498,37.82,4.90,0.40
6-July-2023,115.15,123.80,115.15,119.75,120.800140816973139162,852170,7958,102942256.00,269543,31.63,8.65,4.60
5-July-2023,112.60,119.30,112.60,116.15,116.931237243490732568,580096,5019,67831343.00,199315,34.36,6.70,3.55
4-July-2023,114.70,115.80,113.00,113.70,114.052752938065091984,120998,1446,13800155.00,35291,29.17,2.80,-1.00
3-July-2023,115.15,116.75,114.00,114.70,114.934021476541097869,86513,1249,9943287.00,28520,32.97,2.75,-0.45
30-June-2023,115.35,116.40,113.75,114.90,114.948393289509871064,185441,1797,21316145.00,103218,55.66,2.65,-0.45
28-June-2023,116.70,117.30,115.00,115.40,115.814823133071308253,89050,748,10313310.00,34225,38.43,2.30,-1.30
27-June-2023,116.05,117.65,115.25,116.55,116.316817402505510853,220474,1959,25644834.00,95115,43.14,2.40,0.50
26-June-2023,113.10,116.15,112.10,115.40,114.324178782983306408,284121,2248,32481900.00,82709,29.11,4.05,2.30
23-June-2023,115.15,116.75,112.40,112.95,114.170364489667240602,783479,3739,89450083.00,282837,36.10,4.35,-2.20
22-June-2023,119.50,120.20,113.40,115.15,115.975430936738454855,626194,4138,72623119.00,214909,34.32,6.80,-4.35
21-June-2023,121.20,122.40,117.75,119.45,119.893040672736436002,908766,6373,108954719.00,261387,28.76,4.65,-1.75
20-June-2023,115.70,121.40,114.80,120.80,117.765676994202731552,1284398,7666,151258000.00,286321,22.29,6.60,5.10
19-June-2023,112.80,114.80,111.45,113.70,113.027507366056518867,1212657,3906,137063598.00,364845,30.09,3.35,0.90
16-June-2023,108.90,113.85,108.10,112.10,111.661159607127639816,915310,5215,102204576.00,336895,36.81,5.75,3.20
15-June-2023,111.00,111.30,107.80,108.40,109.299595888109475962,336293,3632,36756689.00,151063,44.92,3.50,-2.60
14-June-2023,112.00,113.15,110.85,111.20,112.067719332872791868,303990,8037,34067466.00,55678,18.32,2.30,-0.80
13-June-2023,113.15,113.65,110.75,111.95,112.140204995863856454,535523,2601,60053659.00,112222,20.96,2.90,-1.20
12-June-2023,110.00,110.80,109.30,109.90,110.129995390839720719,175737,1256,19353915.00,37369,21.26,1.50,-0.10
9-June-2023,110.00,110.85,109.15,109.75,109.954024201310432504,388574,3096,42725275.00,128600,33.10,1.70,-0.25
8-June-2023,113.80,113.80,109.90,110.40,111.525727607972488734,249207,1748,27792992.00,70634,28.34,3.90,-3.40
7-June-2023,112.00,114.50,111.80,113.20,113.047066174276335422,643392,4231,72733578.00,107025,16.63,2.70,1.20
6-June-2023,110.00,113.25,109.25,110.15,111.033726708225605203,822286,5051,91301479.00,217280,26.42,4.00,0.15
5-June-2023,107.80,110.90,106.30,109.15,109.045811147101911303,468947,3418,51136706.00,95123,20.28,4.60,1.35
2-June-2023,110.05,110.95,107.40,107.70,109.037973695668246679,243458,2546,26546167.00,69484,28.54,3.55,-2.35
1-June-2023,110.05,111.80,109.40,109.85,110.590890262751159196,323500,1572,35776153.00,71169,22.00,2.40,-0.20
31-May-2023,109.81,111.44,108.30,110.82,109.942902227752272803,419526,3002,46123906.00,212245,50.59,3.14,1.01
30-May-2023,110.60,111.64,107.66,110.80,110.009481839866019318,472904,2638,52023924.00,134879,28.52,3.98,0.20
29-May-2023,108.01,113.47,105.05,110.59,110.030173526032623042,1344755,7149,147963626.00,295207,21.95,8.42,2.58
26-May-2023,110.99,110.99,102.95,104.52,106.166986845921553239,586130,3046,62227656.00,142401,24.30,8.04,-6.47
25-May-2023,108.45,111.00,107.28,110.37,109.640843312460309135,1229817,8021,134838173.00,416685,33.88,3.72,1.92
24-May-2023,100.69,109.01,100.00,108.55,106.336839781979522223,3447933,18613,366642299.00,1365701,39.61,9.01,7.86
